통제분야,통제영역,통제항목,결함수
0. 정보보호관리과정,1. 정보보호 정책수립 및 범위설정,1.1 정보보호정책의 수립,0
0. 정보보호관리과정,1. 정보보호 정책수립 및 범위설정,1.2 범위설정,0
0. 정보보호관리과정,2. 경영진 책임 및 조직구성,2.1 경영진 참여,0
0. 정보보호관리과정,2. 경영진 책임 및 조직구성,2.2 정보보호 조직 구성 및 자원 할당,0
0. 정보보호관리과정,3. 위험관리,3.1 위험관리 방법 및 계획 수립,1
0. 정보보호관리과정,3. 위험관리,3.2 위험 식별 및 평가,5
0. 정보보호관리과정,3. 위험관리,3.3 정보보호대책 선정 및 이행계획 수립,4
0. 정보보호관리과정,4. 정보보호대책 구현,4.1 정보보호대책의 효과적 구현,2
0. 정보보호관리과정,4. 정보보호대책 구현,4.2 내부 공유 및 교육,0
0. 정보보호관리과정,5. 사후관리,5.1 법적요구사항 준수검토,14
0. 정보보호관리과정,5. 사후관리,5.2 정보보호 관리체계 운영현황 관리,1
0. 정보보호관리과정,5. 사후관리,5.3 내부감사,0
1. 정보보호 정책,1.1 정책의 승인 및 공표,1.1.1 정책의 승인,1
1. 정보보호 정책,1.1 정책의 승인 및 공표,1.1.2 정책의 공표,0
1. 정보보호 정책,1.2 정책의 체계,1.2.1 상위 정책과의 연계성,0
1. 정보보호 정책,1.2 정책의 체계,1.2.2 정책시행 문서수립,1
1. 정보보호 정책,1.3 정책의 유지관리,1.3.1 정책의 검토,3
1. 정보보호 정책,1.3 정책의 유지관리,1.3.2 정책문서 관리,0
2. 정보보호 조직,2.1 조직 체계,2.1.1 정보보호 최고책임자 지정,0
2. 정보보호 조직,2.1 조직 체계,2.1.2 실무조직 구성,1
2. 정보보호 조직,2.1 조직 체계,2.1.3 정보보호위원회,1
2. 정보보호 조직,2.2 역할 및 책임,2.2.1 역할 및 책임,0
3. 외부자 보안,3.1 보안 요구사항 정의,3.1.1 외부자 계약 시 보안요구사항,2
3. 외부자 보안,3.2 외부자 보안 이행,3.2.1 외부자 보안 이행 관리,2
3. 외부자 보안,3.2 외부자 보안 이행,3.2.2 외부자 계약 만료 시 보안,0
4. 정보자산 분류,4.1 정보자산 식별 및 책임,4.1.1 정보자산 식별,6
4. 정보자산 분류,4.1 정보자산 식별 및 책임,4.1.2 정보자산별 책임할당,0
4. 정보자산 분류,4.2 정보자산의 분류 및 취급,4.2.1 보안등급과 취급,0
5. 정보보호 교육,5.1 교육 프로그램 수립,5.1.1 교육 계획,0
5. 정보보호 교육,5.1 교육 프로그램 수립,5.1.2 교육 대상,0
5. 정보보호 교육,5.1 교육 프로그램 수립,5.1.3 교육 내용 및 방법,1
5. 정보보호 교육,5.2 교육 시행 및 평가,5.2.1 교육 시행 및 평가,1
6. 인적 보안,6.1 정보보호 책임,6.1.1 주요 직무자 지정 및 감독,0
6. 인적 보안,6.1 정보보호 책임,6.1.2 직무 분리,0
6. 인적 보안,6.1 정보보호 책임,6.1.3 비밀유지서약서,0
6. 인적 보안,6.2 인사규정,6.2.1 퇴직 및 직무변경 관리,0
6. 인적 보안,6.2 인사규정,6.2.2 상벌규정,0
7. 물리적 보안,7.1 물리적 보호구역,7.1.1 보호구역 지정,0
7. 물리적 보안,7.1 물리적 보호구역,7.1.2 보호설비,2
7. 물리적 보안,7.1 물리적 보호구역,7.1.3 보호구역 내 작업,0
7. 물리적 보안,7.1 물리적 보호구역,7.1.4 출입통제,1
7. 물리적 보안,7.1 물리적 보호구역,7.1.5 모바일 기기 반출입,1
7. 물리적 보안,7.2 시스템 보호,7.2.1 케이블 보안,0
7. 물리적 보안,7.2 시스템 보호,7.2.2 시스템 배치 및 관리,0
7. 물리적 보안,7.3 사무실 보안,7.3.1 개인업무 환경 보안,3
7. 물리적 보안,7.3 사무실 보안,7.3.2 공용업무 환경 보안,0
