인증구분,인증번호,기업명,인증의 범위,유효기간
ISMS-P,ISMS-P-KISA-2026-025,(주)씨어스테크놀로지,심질환 모니터링 서비스(Cardio) 인프라 운영,2026-04-15~2029-04-14
ISMS-P,ISMS-P-KISA-2026-024,한국산업기술시험원,대표누리집 및 시험인증서비스 부문,2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-068,씨제이씨지브이 주식회사,"온라인 서비스(영화예매/매점판매, 회사홈페이지), 광고/미디어 서비스",2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-067,(주)티디에이치컴퍼니,온라인 쇼핑몰 운영(오까네)(정보통신망법 제47조의7에 따른 인증의 특례),2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-066,건양사이버대학교,원격교육시스템 운영,2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-065,(주)휴먼스케이프,"마미톡 플랫폼(마미톡, 마미박스), 레어노트 플랫폼(레어노트, 레어데이터) 운영",2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-064,(주)한국디지털자산수탁,가상자산 커스터디 및 금융서비스(가상자산 중개)(고시 제18조의2에 따른 예비인증),2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-063,(주)샵링커지앤씨,샵링커 쇼핑몰통합관리 솔루션,2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-062,(주)아성다이소,온라인 쇼핑몰 운영(다이소몰),2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-061,(주)케이티밀리의서재,"케이티밀리의서재 대고객 서비스(밀리의서재, 블라이스) 운영",2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-060,(주)비즈니스온커뮤니케이션,스마트빌(전자세금계산서 발급서비스) (정보통신망법 제47조의7에 따른 인증의 특례),2026-04-15~2029-04-14
ISMS-P,ISMS-P-KISA-2026-023,주식회사 케이티알파,"대표홈페이지 외 kt알파 쇼핑, 기프티쇼 대국민서비스",2026-04-01~2029-03-31
ISMS-P,ISMS-P-KISA-2026-022,(주)미리디,"미리디 대표홈페이지, 미리캔버스, 비즈하우스, 디자인허브, 프린트허브",2026-04-01~2029-03-31
ISMS-P,ISMS-P-KISA-2026-021,(주)플레어랩스,플레어레인 콘솔(고객사 계정 관리)(심사받지 않은 물리적 인프라 제외)(정보통신망법 제47조의7에 따른 인증의 특례),2026-04-01~2029-03-31
ISMS-P,ISMS-P-KISA-2026-020,(주)이마트,이마트 정보시스템 및 홈페이지 서비스 운영,2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-059,(주)와드,와드 서비스 플랫폼(캐치테이블),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-058,에퀴닉스코리아 유한회사,"SL1, SL4 Data Center Operation (Colocation) (심사받지 않은 물리적 인프라 제외)",2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-057,주식회사 한패스인터내셔널,알뜰폰 서비스 운영(한패스모바일),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-056,(주)티르티르,(주)티르티르 미용 (Beauty) 온라인 서비스 쇼핑몰(정보통신망법 제47조의7에 따른 인증의 특례),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-055,셀린느코리아(유),온라인쇼핑몰 서비스 운영(셀린느닷컴) (심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역 제외),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-054,주식회사 비케이알,"비케이알 온라인 서비스(버거킹, 팀홀튼)",2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-053,교촌에프앤비(주),"교촌 기업 홈페이지, 교촌 브랜드 홈페이지",2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-052,니오라코리아(유),별정통신서비스(플래시모바일) 및 온라인서비스(에센셜)운영,2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-051,(주)키즈노트,"키즈노트 온라인 서비스 운영(키즈노트, 클래스노트, 패밀리노트)",2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-050,혼다코리아 주식회사,혼다코리아 온라인 플랫폼 서비스,2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-049,메가스터디교육(주),"온라인교육서비스(메가스터디, 김급식, QUBE, 인테그랄, 메가스터디 러셀/학원, 엠베스트, 엘리하이,엘리하이키즈, SE학원, 하이엠수학, 유니스터디, 미북)",2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-048,(주)브로드밴드아이디씨,"VIDC 서비스(서버 호스팅, 코로케이션, CDN, 인코딩 서비스)(정보통신망법 제47조의7에 따른 인증의 특례)",2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-047,(주)매경에이엑스,경제 포털 온라인 뉴스 서비스,2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-046,한국피엠오(주),알뜰폰 서비스 운영(밸류컴),2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-045,(주)신세계아이앤씨,"스파로스 및 대외서비스 운영(eCvan, eCtax, eCdocu, goodMD, 스파로스클라우드EDI, 메세징서비스, 스파로스POS, 스파로스아카데미 등)",2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-044,(주)디에스알브이랩스,블록체인 인프라 서비스 및 가상자산 보관관리(커스터디)서비스 운영,2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-043,주식회사 위대한상상,요기요 서비스 운영,2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-042,(주)현대벤디스,기업 복지 서비스 플랫폼(식권대장)(정보통신망법 제47조의7에 따른 인증의 특례),2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-041,(주)오픈에셋,디지털자산 커스터디 지갑 서비스(고시 제18조의2에 따른 예비인증),2026-03-18~2029-03-17
ISMS-P,ISMS-P-FSI-2026-002,전북은행,"인터넷 뱅킹서비스(웹, 모바일)",2026-03-10~2029-03-09
ISMS-P,ISMS-P-FSI-2026-001,케이비손해보험,"대고객 전자금융거래 서비스(홈페이지, 다이렉트, 퇴직연금)(GA 채널 제외)(심사받지 않은 물리적 인프라 제외)",2026-03-10~2029-03-09
ISMS,ISMS-FSI-2026-007,전북은행,지자체 금고 및 전산센터 운영,2026-03-10~2029-03-09
ISMS,ISMS-FSI-2026-006,(주)핀다,"온라인 서비스 운영(핀다, 핀다유니콘, 오픈업)(심사받지 않은 물리적 인프라 제외)",2026-03-10~2029-03-09
ISMS-P,ISMS-P-KISA-2026-019,이트너스(주),인사·총무 경영지원 서비스 통합 운영 시스템(ESRM),2026-03-05~2029-03-04
ISMS-P,ISMS-P-KISA-2026-018,웍스피어 유한책임회사,"온라인 리크루팅 서비스(잡코리아, 알바몬, 게임잡, 보스몬/크루몬, nooc, KLiK)",2026-03-05~2029-03-04
ISMS-P,ISMS-P-KISA-2026-017,스마일샤크(주),클라우드 메니지드 서비스 운영 (Cloud MSP)(심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역 제외),2026-03-05~2029-03-04
ISMS-P,ISMS-P-KISA-2026-016,교보다솜케어(주),교보다솜케어 헬스케어 서비스,2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-040,한국산업안전보건공단,한국산업안전보건공단 K2B시스템,2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-039,한국결제네트웍스(유),"전자금융서비스 운영 (VAN, PG, 펌뱅킹)",2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-038,주식회사 엔비티,모바일 광고 포인트 서비스 운영(심사받지 않은 물리적 인프라 제외),2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-037,비댁스 주식회사,가상자산 수탁 보관 및 이전 서비스,2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-036,(주)웅진씽크빅,"스마트 학습 및 온라인서비스(브랜드 홈페이지, 북클럽, 라운지, 웅진스마트올, 스마트올중학, 웅진마켓, 유데미큐레이션, 슈퍼팟잉글리시, 투게더, 딸기콩)",2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-035,(주)더블엑스소프트,가상자산 트랜잭션 이력 분석을 통한 세무회계 서비스 (정보통신망법 제47조의7에 따른 인증의 특례),2026-03-04~2029-03-03
ISMS,ISMS-KISA-2026-034,(주)레그원,알뜰폰 서비스 운영(온국민폰),2026-03-04~2029-03-03
ISMS,ISMS-KISA-2026-033,(주)에이프러스,알뜰폰(MVNO) 서비스,2026-03-04~2029-03-03
ISMS-P,ISMS-P-KISA-2026-015,(주)코리아세븐,세븐일레븐 모바일 앱 서비스,2026-02-19~2029-02-18
ISMS-P,ISMS-P-KISA-2026-014,(주) 에임메드,"헬스케어 서비스(건강검진, 검진서비스) 운영",2026-02-19~2029-02-18
ISMS-P,ISMS-P-KISA-2026-013,한국교육학술정보원,AI 디지털 교육자료 포털 서비스,2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-032,(주)골프존커머스,"인터넷 쇼핑몰(골프존마켓, 골핑, 스타일캐디) 및 중고거래플랫폼 (골프존마켓 이웃) 운영",2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-031,(주)안랩블록체인컴퍼니,ABC Cloud Wallet 서비스 운영(고시 제18조의2에 따른 예비인증),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-030,(주)하이어다이버시티,하이어비자 서비스(정보통신망법 제47조의7에 따른 인증의 특례),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-029,비즈톡 주식회사,비즈톡 비즈메시지 운영(정보통신망법 제47조의7에 따른 인증의 특례),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-028,에르메스코리아(유),온라인 쇼핑몰 서비스 운영(심사받지 않은 물리적 인프라 제외),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-027,룰루레몬애틀라티카코리아(유),온라인 쇼핑몰 운영(lululemon)(심사받지 않은 물리적 인프라 제외),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-026,주식회사 유디아이디,"전자지불서비스(페이앱, 라이트페이) 및 부가서비스(블로그페이, 유캔싸인, 프로셀, 픽셀, 링크스토리) 운영",2026-02-19~2029-02-18
ISMS-P,ISMS-P-KISA-2026-012,(주)경동도시가스,대표 홈페이지 및 고객관리 서비스,2026-02-05~2029-02-04
ISMS,ISMS-KISA-2026-025,(주)농협정보시스템,"집적정보통신시설(IDC)운영 (코로케이션, 클라우드(IaaS), 네트워크 및 보안서비스 제공)",2026-02-05~2029-02-04
ISMS,ISMS-KISA-2026-024,아슈리온코리아(유),휴대폰 단말 보험 서비스 및 휴대폰 기술 상담 및 지원 서비스,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-005,유안타증권,"트레이딩 시스템 운영(HTS, WTS, MTS)(심사받지 않은 물리적 인프라 제외)",2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-004,(주)이동의즐거움,MVNO 서비스 운영,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-003,부산하나로카드,교통카드 관리서비스 운영,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-002,마이비,교통카드 관리서비스 운영,2026-02-05~2029-02-04
